id,champ,time_casa,time_visitante,resultados_casa,resultados_visitante,Posse_casa,Posse_visitante,defesas_casa,defesas_visitantes,falta_casa,falta_visitante,cartao_amarelo_casa,cartao_amarelo_visitante,cartao_vermelho_casa,cartao_vermelho_visitante,chute_fora_casa,chute_fora_visitante,escanteios_casa,escanteios_visitante
209,"2017 Copa do Nordeste, Copa do Nordeste - Group Stage",Fortaleza,Bahia,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
210,2020-21 Brasileiro Serie B,America-MG,Chapecoense,2,2,48, 52,0,,11,17,3,3,0,0,2,1,5,10
211,Regular Season,CRB,America-MG,1,3,52, 48,0,,17,11,2,2,1,0,1,1,4,2
212,2020 Brasileiro Serie A,Gremio,Internacional,1,1,46, 54,1,,15,16,1,1,1,1,1,1,5,6
213,Brasileirao 2018,Bahia,Palmeiras,1,1,42, 58,0,,14,11,2,2,0,0,0,2,6,3
214,2021 Brasileiro Serie B,Sampaio Correa,Goias,0,0,54, 46,4,,12,20,2,2,0,0,2,3,2,6
215,"2019 Brazilian Campeonato Miniero, Brasil Mineiro",Villa Nova-MG,Cruzeiro,0,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
216,2022 Brasileiro Serie B,Chapecoense,Gremio,0,0,60, 40,1,,5,5,2,2,0,1,3,0,7,4
217,"2021 Campeonato Paulista, Temporada Regular",Santos,Sao Bento,2,0,52, 48,2,,15,13,0,0,0,0,2,0,8,4
218,2022 Brasileiro Serie A,Atletico-MG,Atletico-GO,2,0,56, 44,0,,16,14,2,2,0,0,2,1,10,2
219,2019 Brasileirao,Chapecoense,Fortaleza,1,3,53, 47,4,,16,12,1,1,0,0,0,2,9,4
220,"2017 Campeonato Carioca, Brazil Carioca - Taca Rio",Vasco da Gama,Madureira,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
221,"2019 Copa Libertadores, Group Stage",Internacional,Alianza Lima,2,0,47, 53,1,,13,13,3,3,0,0,2,2,11,5
222,"2020 Copa Libertadores, Group Stage",Atletico Junior,Flamengo,1,2,46, 54,2,,15,12,4,4,0,0,5,0,3,4
223,Brasileirao 2018,Fluminense,Athletico-PR,2,0,32, 68,3,,13,18,2,2,0,0,2,1,3,6
224,Brasileirao 2017,Palmeiras,Coritiba,1,0,49, 51,2,,18,17,3,3,0,0,1,3,10,6
225,Brasileirao 2018,Flamengo,America-MG,2,0,49, 51,5,,15,17,1,1,0,0,1,0,6,12
226,"2017 Campeonato Paulista, Torneo Paulista 2017 - Cuartos de Final",Linense,Sao Paulo,0,2,26, 74,9,,13,13,1,1,1,0,2,2,0,13
227,2021 Brasileiro Serie A,Gremio,Sao Paulo,3,0,45, 55,1,,17,13,2,2,0,0,0,1,6,0
228,"2021 Campeonato Paulista, Temporada Regular",Corinthians,Sao Paulo,2,2,52, 48,2,,15,16,2,2,0,0,2,6,0,4
229,"2020 FIFA Club World Cup, Semifinals",Palmeiras,Tigres UANL,0,1,50, 50,3,,12,14,2,2,0,0,7,0,4,3
230,"2017 Copa Do Brasil, Quarterfinals",Flamengo,Santos,2,0,48, 52,1,,18,14,1,1,0,0,0,3,5,4
231,2020 Brasileiro Serie A,Internacional,Ceara,2,0,62, 38,0,,15,16,2,2,0,0,1,1,11,3
232,2022 Brasileiro Serie A,Santos,Fortaleza,0,2,48, 52,4,,17,14,3,3,0,0,0,2,5,7
233,2019 Brasileirao,Goias,Cruzeiro,1,0,33, 67,1,,20,19,3,3,0,0,0,2,0,9
234,2022 Brasileiro Serie B,Operario PR,Gremio,0,1,59, 41,1,,13,13,0,0,0,0,1,3,8,4
235,2022 Brasileiro Serie A,Atletico-GO,America-MG,0,1,64, 36,2,,4,12,1,1,0,0,2,2,6,3
236,Regular Season,Red Bull Bragantino,Sport,1,1,61, 39,5,,21,12,2,2,0,1,2,0,6,4
237,2020 Brasileiro Serie A,Fortaleza,Flamengo,0,0,36, 63,0,,21,14,3,3,0,0,1,0,4,12
238,Brasileirao 2017,Athletico-PR,Gremio,0,2,60, 40,2,,11,16,3,3,0,1,0,3,5,3
239,"2017 Copa Sudamericana, Round of 16",Fluminense,Liga de Quito,1,0,65, 35,3,,16,16,4,4,0,0,1,1,11,2
240,"2019 Campeonato Paulista, Temporada Regular",RB Brasil,Red Bull Bragantino,1,1,71, 29,2,,14,18,0,0,0,0,3,2,10,3
241,2021 Brasileiro Serie A,Chapecoense,America-MG,1,1,41, 59,5,,10,11,1,1,1,0,1,3,3,9
242,2020 Brasileiro Serie A,Sport,Botafogo,1,2,63, 37,2,,11,15,1,1,0,1,0,0,6,8
243,"2019 Campeonato Paulista, Temporada Regular",Sao Paulo,Palmeiras,0,1,44, 56,2,,18,17,5,5,0,0,0,2,4,1
244,2019 Brasileirao,Santos,Gremio,0,3,58, 42,3,,13,15,4,4,0,0,0,0,9,2
245,"2021 Campeonato Carioca, Taca Guanabara",Vasco da Gama,Macae,3,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
246,"2018 Campeonato Paulista, Torneo Paulista 2018 - Temporada Regular",Corinthians,Ferroviaria,2,1,57, 43,0,,13,10,1,1,0,0,1,2,7,3
247,Brasileirao 2018,Fluminense,Vasco da Gama,0,1,66, 34,3,,14,12,3,3,1,0,1,2,9,2
248,2022 Brasileiro Serie A,Coritiba,Avai,1,0,44, 56,2,,14,14,3,3,0,0,0,2,4,5
249,"2017 Brasileiro C, Regular Season",CSA,Cuiaba,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
250,"2018 Copa Do Brasil, Quarterfinals",Chapecoense,Corinthians,0,1,49, 51,2,,16,18,4,4,0,0,3,0,6,3
251,2019 Brasileirao,Vasco da Gama,Chapecoense,1,1,52, 48,1,,18,16,3,3,0,0,1,0,7,2
252,"2022 CONMEBOL Libertadores, Group Stage",Deportivo Cali,Corinthians,0,0,44, 56,4,,21,16,1,1,0,0,2,2,5,5
253,2017 Serie B,Guarani,Internacional,0,2,62, 37,0,,10,20,1,1,0,0,1,1,11,5
254,2020 Brasileiro Serie A,Sport,Red Bull Bragantino,0,0,31, 69,0,,9,10,0,0,0,0,0,1,2,24
255,2019 Brasileirao,Internacional,Sao Paulo,1,0,51, 49,4,,14,16,5,5,0,0,3,1,9,2
256,2022 Brasileiro Serie A,Cuiaba,Athletico-PR,0,1,58, 42,7,,9,17,0,0,0,0,0,4,8,8
257,Brasileirao 2017,Botafogo,Vasco da Gama,3,1,44, 56,2,,20,11,1,1,0,0,1,1,2,6
258,"2018 Brasileiro C, SEMIFINALS",Botafogo SP,Cuiaba,0,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
259,Regular Season,Londrina,America-MG,0,1,46, 54,7,,13,20,3,3,0,0,5,0,6,5
260,"2017 Brazilian Campeonato Miniero, Brasil Mineiro",Atletico-MG,Uberlandia,3,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
261,2020-21 Brasileiro Serie B,America-MG,Brasil de Pelotas,3,1,64, 36,0,,13,17,1,1,0,0,2,1,6,1
262,Brasileirao 2018,Palmeiras,Corinthians,1,0,54, 46,0,,14,16,3,3,0,0,4,0,8,3
263,"2019 Campeonato Paulista, Temporada Regular",Red Bull Bragantino,Novorizontino,1,1,52, 48,2,,20,26,3,3,0,0,2,1,8,7
264,Brasileirao 2018,Vasco da Gama,Cruzeiro,2,0,55, 45,4,,14,17,2,2,0,1,1,1,10,9
265,"2018 Brazilian Campeonato Miniero, Brasil Mineiro",Cruzeiro,Boa Esporte,3,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
266,2022 Brasileiro Serie A,Ceara,Flamengo,2,2,41, 59,2,,18,22,5,5,0,0,4,0,8,3
267,2020 Brasileiro Serie A,Santos,Vasco da Gama,2,2,62, 38,1,,17,21,3,3,0,0,2,1,9,2
268,2017 Serie B,Brasil de Pelotas,Internacional,0,1,36, 64,7,,18,13,2,2,0,0,1,0,5,5
269,2019 Brasileirao,Cruzeiro,Chapecoense,1,2,64, 36,3,,13,11,3,3,0,0,1,0,8,2
270,Regular Season,Red Bull Bragantino,Operario PR,4,0,58, 42,4,,21,19,0,0,0,0,0,3,12,3
271,Regular Season,Coritiba,Vitoria,1,1,65, 35,2,,17,22,3,3,0,0,10,0,8,3
272,2019 Brasileirao,Atletico-MG,Ceara,2,1,62, 38,0,,13,12,2,2,0,0,0,1,5,8
273,"2020 Copa Libertadores, Group Stage",Guarani,Palmeiras,0,0,43, 57,2,,18,12,1,1,0,0,2,3,6,4
274,"2019 Copa Sudamericana, Second Phase",Corinthians,Deportivo Lara,2,0,64, 36,1,,11,13,2,2,0,0,2,3,7,6
275,"2022 Brazilian Campeonato Mineiro, Regular Season",URT,Atletico-MG,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
276,"2021 Campeonato Paulista, Semifinals",Sao Paulo,Mirassol,4,0,68, 32,2,,8,9,2,2,0,0,6,0,4,2
277,"2017 Brazilian Campeonato Miniero, Brasil Mineiro",Atletico-MG,America-MG,4,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
278,"2017 Copa Libertadores, Round of 16",Nacional,Botafogo,0,1,59, 41,3,,15,26,2,2,0,0,1,2,6,0
279,Brasileirao 2017,Bahia,Botafogo,1,2,39, 61,2,,14,9,0,0,0,0,2,0,7,3
280,Brasileirao 2018,Santos,Bahia,2,0,48, 52,0,,25,17,2,2,0,0,3,2,6,4
281,Brasileirao 2018,Sport,America-MG,0,2,53, 47,1,,9,21,2,2,0,0,3,2,4,4
282,2022 Brasileiro Serie B,Bahia,Guarani,1,1,41, 59,4,,11,11,2,2,0,0,1,3,9,7
283,2022 Brasileiro Serie B,Criciuma,Bahia,0,0,48, 52,0,,12,14,2,2,0,0,2,0,2,4
284,2019 Brasileirao,Avai,Palmeiras,1,2,38, 62,2,,18,17,2,2,0,0,0,2,6,5
285,"2017 Brasileiro C, Regular Season",Moto Club,Fortaleza,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
286,"2020 Copa do Nordeste, Copa do Nordeste - Group Stage",Vitoria,Fortaleza,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
287,"2018 Copa Libertadores, Group Stage",Santos,Nacional,3,1,40, 60,2,,15,14,5,5,1,0,1,1,2,7
288,2017 Serie B,Goias,Oeste,0,2,67, 32,0,,12,14,2,2,0,0,0,2,17,4
289,2019 Brasileirao,Atletico-MG,Flamengo,2,1,34, 66,9,,11,8,1,1,1,0,0,0,2,19
290,"2020 Brazilian Campeonato Mineiro, Regular Season",Cruzeiro,Villa Nova-MG,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
291,"2019 Copa Libertadores, Quarterfinals",Gremio,Palmeiras,0,1,70, 30,2,,10,20,1,1,0,1,0,1,9,2
292,Brasileirao 2018,Santos,Chapecoense,0,1,63, 37,2,,15,24,1,1,0,0,3,4,5,4
293,2022 Brasileiro Serie B,Tombense,Cruzeiro,1,1,28, 72,4,,7,13,1,1,0,0,1,1,2,6
294,"2020 Copa do Nordeste, Copa do Nordeste - Group Stage",Confianca,Fortaleza,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
295,"2017 Copa Sudamericana, First Phase",Sao Paulo,Defensa y Justicia,1,1,64, 36,6,,15,20,1,1,0,1,1,0,4,3
296,"2018 Copa Sudamericana, First Phase",Atletico-MG,San Lorenzo,0,0,67, 33,2,,21,23,6,6,0,0,0,5,10,5
297,"2018 Brasileiro C, Regular Season",Red Bull Bragantino,Operario PR,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
298,"2018 Brasileiro C, Regular Season",Red Bull Bragantino,Tupi,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
299,"2018 Campeonato Gaucho, Regular Season",Internacional,Gremio,1,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
300,"2019 Brazilian Campeonato Miniero, Brasil Mineiro",America-MG,Cruzeiro,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
301,"2017 Campeonato Paulista, Torneo Paulista 2017 - Temporada Regular",Corinthians,RB Brasil,1,1,65, 35,2,,16,17,0,0,0,1,6,5,8,7
302,Brasileirao 2017,Vasco da Gama,Chapecoense,1,1,65, 35,4,,15,22,0,0,0,0,1,2,3,4
303,Brasileirao 2018,Sao Paulo,Atletico-MG,2,2,38, 62,3,,17,14,4,4,0,0,2,2,6,7
304,"2017 Campeonato Paulista, Torneo Paulista 2017 - Temporada Regular",Sao Bento,Santos,0,2,36, 64,3,,14,7,1,1,1,0,1,0,2,5
305,2021 Brasileiro Serie B,Confianca,Goias,1,2,46, 54,6,,14,21,2,2,0,0,0,3,7,5
306,"2022 Copa Do Brasil, Third Round",Palmeiras,Juazeirense,2,1,74, 26,2,,11,9,0,0,0,0,0,2,8,0
307,"2020 Copa Libertadores, Group Stage",Flamengo,Independiente del Valle,4,0,33, 67,7,,11,9,3,3,0,0,3,4,3,6
308,Regular Season,Brasil de Pelotas,Cuiaba,0,0,44, 56,3,,13,18,1,1,0,0,2,2,4,8
309,"2020 Brazilian Campeonato Mineiro, Regular Season",Coimbra,Atletico-MG,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
310,"2017 Copa Libertadores, Group Stage",Flamengo,San Lorenzo,4,0,53, 47,1,,16,16,4,4,0,0,2,1,6,4
311,"2021 Copa Libertadores, Quarterfinals",Palmeiras,Sao Paulo,3,0,42, 58,0,,9,18,2,2,0,1,1,2,4,3
312,2022 Brasileiro Serie A,Corinthians,Santos,0,0,61, 39,2,,20,10,3,3,0,0,0,4,3,2
313,2020 Brasileiro Serie A,Coritiba,Internacional,0,1,43, 57,3,,11,21,4,4,0,0,3,2,2,6
314,"2018 Campeonato Carioca, Brazil Carioca - Taca Rio",Flamengo,Botafogo,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
315,Brasileirao 2017,Sao Paulo,Vasco da Gama,1,0,44, 56,5,,26,20,3,3,0,0,1,2,1,4
316,"2020 Campeonato Gaucho, Second Round - Group Stage",Internacional,Brasil de Pelotas,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317,"2018 Copa do Nordeste, Copa do Nordeste - Final",Bahia,Sampaio Correa,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
318,2017 Serie B,Goias,Guarani,1,1,43, 56,0,,26,20,4,4,0,0,0,3,6,14
319,"2022 CONMEBOL Libertadores, Round of 16",Cerro Porteno,Palmeiras,0,3,50, 50,5,,8,11,1,1,0,0,2,1,4,7
320,"2019-20 Campeonato Carioca, Brasil Carioca - Semifinals",Vasco da Gama,Bangu,2,1,56, 44,4,,14,12,4,4,0,0,0,0,8,2
321,Brasileirao 2018,Athletico-PR,Botafogo,2,1,70, 30,3,,19,30,5,5,0,0,1,1,5,2
322,"2021 Copa Do Brasil, Second Round",Tombense,Vasco da Gama,1,2,53, 47,2,,8,15,2,2,0,0,0,3,4,5
323,"2020 Brazilian Campeonato Mineiro, Regular Season",Tupynambas,America-MG,0,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
324,2022 Brasileiro Serie A,Athletico-PR,Atletico-GO,4,1,42, 58,3,,15,8,0,0,0,0,2,1,3,2
325,"2018 Copa Libertadores, Round of 16",Palmeiras,Cerro Porteno,0,1,25, 75,3,,12,18,5,5,2,1,0,2,4,2
326,2019 Brasileirao,Flamengo,Palmeiras,3,0,66, 34,0,,15,16,2,2,0,1,0,3,1,1
327,"2017 Copa Do Brasil, Quarterfinals",Palmeiras,Cruzeiro,3,3,62, 38,0,,24,21,4,4,0,0,0,1,7,2
328,2021 Brasileiro Serie B,Botafogo,Operario PR,2,1,50, 50,5,,7,18,2,2,0,0,0,0,6,5
329,2019 Brasileirao,Sao Paulo,Santos,3,2,43, 57,2,,21,15,1,1,0,0,1,1,5,2
330,2022 Brasileiro Serie A,Sao Paulo,Red Bull Bragantino,3,0,51, 49,4,,17,10,0,0,0,0,4,1,13,4
331,Regular Season,Coritiba,Brasil de Pelotas,1,0,43, 57,1,,20,20,1,1,0,0,1,0,5,3
332,"2022 CONMEBOL Libertadores, Third Stage",Fluminense,Olimpia,3,1,48, 52,5,,15,16,6,6,0,0,1,2,6,12
333,"2021 Brazilian Campeonato Mineiro, Playoffs - Finals",Atletico-MG,America-MG,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
334,Brasileirao 2018,Vitoria,America-MG,1,0,57, 43,3,,21,10,1,1,0,1,1,3,5,3
335,2020 Brasileiro Serie A,Flamengo,Gremio,1,1,60, 40,1,,17,20,3,3,0,0,1,3,1,2
336,Brasileirao 2017,Corinthians,Coritiba,3,1,57, 43,3,,8,16,3,3,0,0,1,4,10,6
337,"2017 Copa Do Brasil, Second Round",Murici,America-MG,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
338,Brasileirao 2017,Corinthians,Gremio,0,0,55, 45,3,,13,14,1,1,0,0,1,1,2,4
339,2022 Brasileiro Serie A,Goias,Fluminense,2,3,27, 73,7,,19,9,0,0,0,0,2,0,2,3
340,"2022 CONMEBOL Sudamericana, Group Stage",Melgar,Cuiaba,3,1,57, 43,0,,10,8,2,2,0,0,3,2,7,0
341,Brasileirao 2018,Gremio,Atletico-MG,2,0,60, 40,1,,10,19,2,2,0,0,1,1,5,2
342,"2019 Campeonato Paulista, Temporada Regular",Palmeiras,Santos,0,0,38, 62,3,,15,21,3,3,0,0,5,1,9,3
343,"2022 Copa Do Brasil, Quarterfinals",Fortaleza,Fluminense,0,1,38, 62,2,,22,11,1,1,0,0,5,6,7,3
344,Brasileirao 2017,Atletico-MG,Vasco da Gama,1,2,58, 42,2,,24,16,3,3,0,0,1,1,7,5
345,2020-21 Brasileiro Serie B,Operario PR,Cuiaba,1,1,46, 53,0,,13,24,0,0,0,0,3,0,1,13
346,2021 Supercopa do Brazil,Flamengo,Palmeiras,2,2,56, 44,7,,15,23,4,4,0,0,3,3,5,8
347,2021 Brasileiro Serie B,Coritiba,Ponte Preta,2,0,48, 52,2,,14,8,1,1,0,0,0,0,2,7
348,2022 Brasileiro Serie B,Gremio,Chapecoense,0,1,61, 39,0,,11,17,3,3,0,0,0,0,8,1
349,"2017 Campeonato Carioca, Brazil Carioca - Taca Rio",Flamengo,Bangu,3,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
350,2021 Brasileiro Serie A,Sao Paulo,Santos,1,1,60, 40,2,,19,13,4,4,0,0,3,2,9,3
351,Brasileirao 2018,Corinthians,America-MG,1,0,60, 40,6,,14,13,2,2,0,2,2,1,1,4
352,2020 Brasileiro Serie A,Santos,Goias,3,4,64, 36,2,,11,19,4,4,0,0,4,2,11,3
353,2020 Brasileiro Serie A,Sport,Sao Paulo,0,1,55, 45,3,,21,25,3,3,0,0,1,0,0,3
354,"2022 Campeonato Gaucho, First Round",Internacional,Uniao Frederiquense,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
355,2022 Brasileiro Serie B,Gremio,Vila Nova-GO,2,1,39, 61,1,,13,9,0,0,0,0,3,1,4,2
356,2019 Brasileirao,Chapecoense,Santos,0,1,52, 48,4,,17,19,4,4,0,0,1,3,5,5
357,2020 Brasileiro Serie A,Botafogo,Coritiba,0,0,54, 45,0,,22,21,1,1,0,0,1,0,14,7
358,Brasileirao 2017,Bahia,Atletico-MG,2,2,56, 44,4,,12,13,4,4,0,0,0,1,8,2
359,2020 Brasileiro Serie A,Red Bull Bragantino,Atletico-MG,2,2,44, 56,4,,15,11,0,0,0,0,0,1,6,6
360,Brasileirao 2018,Flamengo,Sport,4,1,57, 43,0,,12,11,1,1,0,0,1,2,8,2
361,"2021 Copa Libertadores, Group Stage",Flamengo,Velez Sarsfield,0,0,58, 42,2,,15,14,1,1,0,1,1,0,8,6
362,Brasileirao 2017,Corinthians,Chapecoense,1,1,67, 33,1,,10,12,2,2,0,0,1,3,1,7
363,2021 Brasileiro Serie A,America-MG,Fluminense,1,0,44, 56,2,,17,13,2,2,0,0,1,1,4,8
364,"2019-20 Campeonato Carioca, 2019 Brazil Carioca - Taca Rio",Portuguesa-RJ,Flamengo,1,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
365,"2018 Campeonato Carioca, Brazil Carioca - Taca Guanabara",Vasco da Gama,Bangu,0,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
366,"2022 Campeonato Gaucho, First Round",Internacional,Gremio,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
367,"2022 CONMEBOL Sudamericana, Group Stage",Independiente Medellin,Internacional,0,1,48, 52,4,,15,8,1,1,0,0,2,1,6,3
368,"2020 Brazilian Campeonato Mineiro, Regular Season",Cruzeiro,America-MG,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
369,Brasileirao 2018,Atletico-MG,Vitoria,2,1,60, 40,3,,22,19,4,4,0,0,6,1,6,5
370,"2019-20 Campeonato Carioca, 2020 Taca Guanabara",Volta Redonda,Botafogo,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
371,"2020 Campeonato Paulista, Temporada Regular",Palmeiras,Mirassol,3,1,55, 45,3,,16,17,3,3,0,0,2,1,6,2
372,2019 Brasileirao,Chapecoense,Atletico-MG,1,2,38, 62,5,,20,16,5,5,0,0,2,2,5,10
373,2019 Brasileirao,Goias,Palmeiras,1,2,34, 66,7,,11,21,0,0,0,1,1,2,3,7
374,"2019 Copa Sudamericana, Second Phase",Atletico Nacional,Fluminense,1,0,56, 44,2,,14,11,2,2,0,0,0,3,3,4
375,2021 Brasileiro Serie A,Red Bull Bragantino,Sport,3,0,45, 55,4,,17,14,6,6,0,0,0,0,9,7
376,Brasileirao 2018,Flamengo,Corinthians,1,0,53, 47,2,,14,18,1,1,0,0,1,0,8,7
377,2019 Brasileirao,Goias,Internacional,2,1,26, 74,5,,9,14,2,2,1,0,0,3,5,5
378,2022 Brasileiro Serie A,Sao Paulo,Botafogo,0,1,67, 33,0,,16,8,2,2,1,0,4,3,10,4
379,2019 Brasileirao,Fortaleza,Palmeiras,0,1,44, 56,2,,16,11,1,1,0,0,1,4,5,5
380,Brasileirao 2018,Botafogo,America-MG,1,0,47, 53,1,,13,18,1,1,1,1,1,4,5,1
381,"2018 Copa Do Brasil, Fourth Round",Ferroviario,Atletico-MG,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
382,"2017 Copa Do Brasil, Quarterfinals",Botafogo,Atletico-MG,3,0,34, 66,2,,16,11,1,1,0,0,2,0,5,6
383,"2019 Copa Libertadores, Group Stage",Boca Juniors,Athletico-PR,2,1,53, 47,1,,13,19,4,4,0,1,1,0,6,1
384,2021 Brasileiro Serie A,Juventude,Atletico-MG,1,2,35, 65,2,,17,14,3,3,0,0,1,2,4,5
385,2022 Brasileiro Serie A,Fluminense,Internacional,0,1,57, 43,4,,15,12,3,3,0,0,4,2,5,4
386,2020 Brasileiro Serie A,Red Bull Bragantino,Fortaleza,2,1,52, 48,4,,17,18,2,2,0,0,0,2,2,5
387,"2019 Copa Do Brasil, Quarterfinals",Cruzeiro,Atletico-MG,3,0,35, 65,2,,8,16,0,0,0,0,2,0,1,9
388,"2019 Copa Do Brasil, Fourth Round",Vasco da Gama,Santos,2,1,46, 54,3,,18,16,5,5,0,0,3,7,5,4
389,"2022 Copa Do Brasil, Third Round",Azuriz,Bahia,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
390,"2022 Copa Do Brasil, Third Round",Brasiliense,Atletico-MG,0,1,29, 71,3,,9,14,1,1,0,0,2,0,3,3
391,Brasileirao 2018,Vasco da Gama,Parana,1,0,50, 50,2,,24,18,3,3,1,1,0,4,4,2
392,Brasileirao 2017,Palmeiras,Vasco da Gama,4,0,51, 49,5,,19,16,2,2,0,0,5,2,3,2
393,"2019 Copa Sudamericana, Second Phase",Deportivo Lara,Corinthians,0,2,51, 49,3,,12,9,2,2,0,0,1,1,8,4
394,"2022 Copa Do Brasil, First Round",Globo,Internacional,2,0,33, 67,1,,17,17,4,4,0,0,4,2,2,1
395,"2018 Copa Do Brasil, Fourth Round",Avai,Goias,2,2,53, 47,4,,9,30,3,3,0,0,0,1,7,3
396,Regular Season,Coritiba,Sampaio Correa,0,0,62, 38,0,,28,17,2,2,0,0,3,2,4,2
397,2021 Brasileiro Serie A,Atletico-MG,Atletico-GO,4,1,46, 54,2,,13,12,2,2,0,0,1,1,4,4
398,2022 Brasileiro Serie B,Gremio,Guarani,3,1,39, 61,6,,16,21,4,4,0,0,0,1,6,4
399,"2019 Copa do Nordeste, Copa do Nordeste - Group Stage",Altos,Bahia,0,5,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
400,"2019 Copa Sudamericana, Second Phase",Fluminense,Atletico Nacional,4,1,56, 44,3,,15,10,4,4,0,0,1,2,10,1
401,"2019 Copa Libertadores, Group Stage",Rosario Central,Gremio,1,1,47, 53,3,,22,9,2,2,0,0,0,2,8,3
402,"2020 Copa Sudamericana, First Phase",Fluminense,Union La Calera,1,1,58, 42,0,,13,27,4,4,0,1,3,1,9,0
403,"2018 Copa Sudamericana, Finals",Atletico Junior,Athletico-PR,1,1,62, 38,0,,13,20,3,3,0,0,0,1,6,4
404,"2020 Copa Libertadores, Group Stage",Olimpia,Santos,2,3,58, 42,1,,19,13,3,3,0,0,4,2,11,0
405,"2020 Copa Do Brasil, Semifinals",America-MG,Palmeiras,0,2,47, 53,2,,10,12,2,2,0,0,2,1,3,3
406,"2018 Campeonato Paulista, Torneo Paulista 2018 - Temporada Regular",Ferroviaria,Red Bull Bragantino,0,0,62, 38,1,,11,16,2,2,0,0,0,2,10,2
407,"2021 Copa Do Brasil, Third Round",Gremio,Brasiliense,2,0,61, 39,2,,17,9,4,4,0,0,2,3,3,7
408,Brasileirao 2017,Avai,Athletico-PR,1,0,37, 63,2,,19,15,1,1,0,0,2,0,5,10
409,"2019 Campeonato Gaucho, Regular Season",Caxias do Sul,Gremio,0,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
410,2019 Brasileirao,Flamengo,Goias,6,1,73, 27,1,,8,9,2,2,0,0,0,3,12,0
411,Brasileirao 2018,Flamengo,Atletico-MG,2,1,51, 49,3,,26,15,2,2,0,0,2,1,4,6
412,2017 Serie B,Goias,CRB,3,0,40, 60,5,,20,13,1,1,1,1,1,3,5,6
413,Brasileirao 2018,Vitoria,Athletico-PR,1,2,52, 48,5,,15,23,3,3,1,0,0,4,3,4
414,2019 Brasileirao,Gremio,Botafogo,3,0,52, 48,2,,13,9,2,2,0,0,1,0,5,7
415,2020 Brasileiro Serie A,Bahia,Vasco da Gama,3,0,47, 53,1,,18,15,2,2,0,1,0,1,4,6
416,"2018 Campeonato Carioca, Brazil Carioca - Taca Rio",Vasco da Gama,Boavista,4,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
417,Brasileirao 2017,Corinthians,Bahia,3,0,48, 52,1,,15,12,2,2,1,1,2,2,5,9
418,"2020 Copa Do Brasil, First Round",Manaus,Coritiba,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
