id,champ,time_casa,time_visitante,resultados_casa,resultados_visitante,Posse_casa,Posse_visitante,defesas_casa,defesas_visitantes,falta_casa,falta_visitante,cartao_amarelo_casa,cartao_amarelo_visitante,cartao_vermelho_casa,cartao_vermelho_visitante,chute_fora_casa,chute_fora_visitante,escanteios_casa,escanteios_visitante
3123,"2019-20 Campeonato Carioca, 2019 Brazil Carioca - Taca Rio",Fluminense,Botafogo,2,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3124,2022 Brasileiro Serie A,Red Bull Bragantino,Palmeiras,2,0,41, 59,2,,14,12,4,4,0,0,2,3,2,11
3125,Brasileirao 2018,Chapecoense,Athletico-PR,2,2,49, 51,4,,19,18,3,3,0,0,2,0,8,4
3126,2019 Brasileirao,Flamengo,Fortaleza,2,0,65, 35,4,,16,6,0,0,0,0,2,1,8,2
3127,2020 Brasileiro Serie A,Internacional,Coritiba,2,3,59, 41,1,,9,13,3,3,1,0,0,2,9,4
3128,"2022 CONMEBOL Libertadores, Third Stage",Olimpia,Fluminense,0,0,63, 37,3,,22,13,2,2,0,1,3,0,2,1
3129,"2018 Brazilian Campeonato Miniero, Brasil Mineiro",Uberlandia,America-MG,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3130,"2019 Campeonato Paulista, Quarterfinals",Santos,RB Brasil,1,3,43, 57,3,,18,13,4,4,0,0,2,2,6,3
3131,2020 Brasileiro Serie A,Ceara,Red Bull Bragantino,3,0,37, 63,5,,13,16,2,2,0,0,1,0,6,9
3132,"2022 Campeonato Paulista, Temporada Regular",Ferroviaria,Santos,1,0,37, 63,3,,14,12,3,3,0,0,1,5,2,3
3133,2017 Serie B,Internacional,Luverdense,1,0,60, 40,1,,8,11,4,4,0,0,6,3,17,3
3134,"2019 Copa Do Brasil, Round of 16",Athletico-PR,Fortaleza,1,1,65, 35,4,,16,10,1,1,0,1,3,3,12,4
3135,"2020 Copa Libertadores, Group Stage",Colo Colo,Athletico-PR,3,1,36, 64,2,,21,14,2,2,0,1,3,0,2,5
3136,Brasileirao 2017,Bahia,Santos,2,1,41, 59,6,,17,16,2,2,0,0,1,1,3,11
3137,"2022 Brazilian Campeonato Mineiro, Regular Season",Cruzeiro,Uberlandia,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3138,2021 Brasileiro Serie A,Flamengo,Gremio,1,1,62, 38,4,,16,17,4,4,0,0,2,0,2,4
3139,Brasileirao 2018,Vasco da Gama,Gremio,2,0,34, 66,5,,12,17,6,6,1,0,0,2,8,10
3140,2021 Brasileiro Serie A,Flamengo,Fortaleza,0,1,63, 37,4,,18,15,1,1,0,0,1,2,11,2
3141,Brasileirao 2017,Avai,Corinthians,1,1,27, 73,7,,18,10,3,3,0,0,1,1,3,11
3142,2021 Brasileiro Serie A,Atletico-MG,Chapecoense,2,1,67, 33,0,,9,10,1,1,0,0,0,2,9,7
3143,2020 Brasileiro Serie A,Sport,Goias,1,1,52, 48,4,,18,17,0,0,0,0,1,0,9,4
3144,"2019 Campeonato Paulista, Quarterfinals",Novorizontino,Palmeiras,1,1,38, 62,5,,15,13,0,0,0,0,0,0,4,10
3145,Brasileirao 2018,Parana,Vasco da Gama,0,0,40, 60,3,,15,11,0,0,0,1,2,2,11,5
3146,"2019 Copa Libertadores, Group Stage",Huracan,Cruzeiro,3,0,55, 45,0,,20,16,6,6,0,0,1,3,10,2
3147,2017 Serie B,Santa Cruz,Goias,2,1,38, 62,0,,23,11,1,1,0,0,2,4,1,15
3148,"2018 Copa Libertadores, Second Stage",Vasco da Gama,Universidad de Concepcion,3,2,50, 50,3,,10,16,4,4,1,1,1,5,1,7
3149,"2021 Campeonato Gaucho, First Round",Gremio,Novo Hamburgo,2,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3150,2022 Brasileiro Serie A,Athletico-PR,Santos,4,1,41, 59,1,,21,11,3,3,0,0,2,0,7,6
3151,Brasileirao 2017,Flamengo,Bahia,1,0,63, 37,2,,23,11,4,4,0,0,2,0,7,2
3152,"2019-20 Campeonato Carioca, Taca Rio Playoffs - Final",Vasco da Gama,Flamengo,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3153,2021 Brasileiro Serie B,Coritiba,Vila Nova-GO,2,2,45, 55,4,,13,19,1,1,0,0,0,0,2,6
3154,"2019 Brazilian Campeonato Miniero, Brasil Mineiro Playoffs - Quarterfinals",America-MG,Caldense,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3155,2021 Brasileiro Serie A,Corinthians,Red Bull Bragantino,1,1,42, 58,3,,13,15,0,0,0,0,2,1,9,12
3156,"2017 Copa Libertadores, Round of 16",Palmeiras,Barcelona SC,1,0,55, 45,2,,15,26,3,3,0,0,1,2,3,4
3157,2021 Brasileiro Serie A,Fluminense,Juventude,0,1,64, 36,2,,23,18,1,1,0,0,1,1,7,2
3158,"2019 Campeonato Paulista, Temporada Regular",Sao Paulo,RB Brasil,2,1,34, 66,10,,6,17,4,4,1,0,1,0,2,11
3159,2021 Brasileiro Serie B,Goias,Brasil de Pelotas,1,0,50, 50,1,,16,9,3,3,1,0,2,1,4,4
3160,"2017 Brasileiro C, Regular Season",Cuiaba,ASA,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3161,Regular Season,Goias,Londrina,0,0,60, 39,0,,2,1,4,4,0,0,0,0,2,5
3162,2021 Brasileiro Serie A,Atletico-GO,Fortaleza,3,1,56, 44,1,,18,13,1,1,0,0,0,6,9,4
3163,"2017 Brazilian Campeonato Miniero, Brasil Mineiro Playoffs - Semifinals",Atletico-MG,URT,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3164,"2022 CONMEBOL Sudamericana, Round of 16",Deportivo Tachira,Santos,3,2,45, 55,2,,8,8,1,1,0,0,2,0,3,1
3165,"2022 Brazilian Campeonato Mineiro, Playoffs - Semifinals",Atletico-MG,Caldense,2,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3166,2020 Brasileiro Serie A,Ceara,Goias,3,1,59, 41,5,,13,14,4,4,0,0,9,3,11,7
3167,2020 Brasileiro Serie A,Gremio,Santos,0,1,62, 37,0,,10,19,2,2,0,1,1,0,10,1
3168,2017 Serie B,Paysandu,America-MG,1,0,41, 59,2,,15,13,2,2,1,0,3,4,1,6
3169,2020 Brasileiro Serie A,Fluminense,Palmeiras,0,2,52, 48,0,,20,31,3,3,0,0,3,0,3,3
3170,2019 Brasileirao,Avai,Goias,2,1,62, 38,3,,16,19,2,2,0,0,1,0,5,3
3171,"2021 Copa Libertadores, Quarterfinals",Fluminense,Barcelona SC,0,0,57, 43,0,,14,13,2,2,0,1,0,4,3,4
3172,"2022 Campeonato Paulista, Temporada Regular",Sao Paulo,Palmeiras,1,2,63, 37,0,,11,13,2,2,1,0,0,1,5,1
3173,Brasileirao 2018,Fluminense,Botafogo,0,0,41, 59,3,,21,14,4,4,0,0,1,2,6,7
3174,"2017 Campeonato Gaucho, Quarterfinals",Veranopolis,Gremio,4,1,43, 57,7,,18,14,1,1,0,0,0,3,3,9
3175,"2021 Copa Libertadores, Group Stage",Internacional,Deportivo Tachira,2,3,57, 43,4,,11,13,3,3,1,0,6,2,8,5
3176,2022 Brasileiro Serie A,Ceara,Santos,0,1,43, 57,3,,24,17,3,3,0,0,4,2,3,5
3177,"2020 Copa Libertadores, Semifinals",River Plate,Palmeiras,1,nan,71, 29,4,,12,21,4,4,1,0,1,1,6,2
3178,"2019 Brazilian Campeonato Miniero, Brasil Mineiro - Finals",Atletico-MG,Cruzeiro,nan,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3179,,nan,,1,nan,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3180,2020 Brasileiro Serie A,Goias,Sport,nan,0,38, 61,0,,19,18,1,1,0,0,0,4,5,10
3181,,nan,,5,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3182,"2018 Copa Libertadores, Group Stage",Gremio,Cerro Porteno,1,1,58, 42,0,,13,12,2,2,0,0,0,0,5,2
3183,"2019 Copa Do Brasil, Quarterfinals",Gremio,Bahia,1,2,63, 37,1,,8,14,2,2,0,0,0,0,9,4
